config_norm,n,rows,median_overhead_percent,p90_overhead_percent,median_overhead_ms,median_wall_overhead_percent,p90_wall_overhead_percent,median_actual_reconstruction_time_ms,objective_match_rate,order_valid_rate,median_memory_mb,median_memory_ratio_to_solve_only,median_trace_hits,max_trace_fallbacks
new_solve_with_reconstruction,100,15,4.569732230143782,5.8254978068083885,0.44799999999999685,-5.564934,2.4343439999999994,0.1183,1.0,1.0,1.03965,1.9090918026341654,79.0,0.0
new_solve_with_reconstruction,300,15,2.142909700009964,3.5738439242869657,27.62000000000012,2.117243,3.274298,0.6976,1.0,1.0,59.0475,1.7142862231594547,211.0,0.0
new_solve_with_reconstruction,500,15,1.6643681510166128,2.653198613328505,110.13000000000102,1.731343,2.7355927999999996,1.3299,1.0,1.0,278.715,1.5882339246635937,298.0,0.0
new_solve_with_reconstruction,700,15,1.1171008022910607,2.2475540798145164,296.40000000000146,1.153569,2.2871596,2.0231,1.0,1.0,756.463,1.5,421.0,0.0
new_solve_with_reconstruction,900,15,0.9181291347509267,1.3649616569064125,659.5,0.979984,1.4123486,3.4038,1.0,1.0,2036.32,1.4166665745767826,514.0,0.0
new_solve_with_reconstruction,1100,15,0.9128634570511716,1.2423330891025894,1206.0,0.963087,1.2805078,4.589,1.0,1.0,3084.63,1.3703703703703705,591.0,0.0
old_solve_with_reconstruction,100,15,0.20560497027666996,1.7149433375290486,0.013399999999999856,16.509,30.558,,1.0,1.0,,,,
old_solve_with_reconstruction,300,15,0.5383435797284597,2.3087576174816196,12.11999999999989,15.613,89.98459999999997,,1.0,1.0,,,,
old_solve_with_reconstruction,500,15,0.004896434579554503,0.4277154882495536,0.42000000000007276,15.316,87.3776,,1.0,1.0,,,,
old_solve_with_reconstruction,700,15,0.005758632020016631,0.24480962614452467,1.6999999999970896,20.811,136.8036,,1.0,1.0,,,,
old_solve_with_reconstruction,900,15,0.0007624857033930614,0.19117263211386668,1.0,22.595,181.4372,,1.0,1.0,,,,
old_solve_with_reconstruction,1100,15,-0.011407060970740887,0.10301005546646219,-18.0,36.707,283.274,,1.0,1.0,,,,
