source_file,config_norm,n,R,T,seed,solve_only_time_ms,solve_with_reconstruction_time_ms,overhead_ms,overhead_percent,wall_overhead_ms,wall_overhead_percent,actual_reconstruction_time_ms,solve_only_memory_mb,objective_match,order_valid,memory_mb,memory_ratio_to_solve_only,trace_hits,trace_fallbacks
C:\c++\test2\results\best_reconstruction_overhead\raw_results.csv,new_solve_with_reconstruction,300,0.2,0.4,0,1142.96,1165.0,22.039999999999964,1.928326450619441,21.348,1.844906,0.3574,35.4267,True,True,60.7315,1.7142861175328215,124.0,0.0
C:\c++\test2\results\best_reconstruction_overhead\raw_results.csv,new_solve_with_reconstruction,300,0.2,0.4,1,1536.04,1563.66,27.62000000000012,1.7981302570245643,27.538,1.775832,0.8468,40.1092,True,True,68.7587,1.7142874951382725,244.0,0.0
C:\c++\test2\results\best_reconstruction_overhead\raw_results.csv,new_solve_with_reconstruction,300,0.2,0.4,2,1055.05,1086.48,31.430000000000064,2.9790057343253937,31.725,2.967624,0.5852,34.8922,True,True,59.8152,1.7142857142857142,171.0,0.0
C:\c++\test2\results\best_reconstruction_overhead\raw_results.csv,new_solve_with_reconstruction,300,0.2,0.4,3,1344.6,1373.22,28.62000000000012,2.1285140562249083,28.46,2.094873,0.6537,34.4444,True,True,59.0475,1.7142844700444775,178.0,0.0
C:\c++\test2\results\best_reconstruction_overhead\raw_results.csv,new_solve_with_reconstruction,300,0.2,0.4,4,751.846,774.04,22.19399999999996,2.951934305695576,22.644,2.959408,0.3956,23.4874,True,True,40.2642,1.7142893636588128,128.0,0.0
C:\c++\test2\results\best_reconstruction_overhead\raw_results.csv,new_solve_with_reconstruction,300,0.4,0.6,0,1060.56,1082.78,22.220000000000027,2.0951195594780145,22.739,2.117243,0.8122,25.4076,True,True,43.5558,1.7142823407169507,226.0,0.0
C:\c++\test2\results\best_reconstruction_overhead\raw_results.csv,new_solve_with_reconstruction,300,0.4,0.6,1,1413.79,1437.56,23.769999999999982,1.6812963735774042,23.74,1.66262,0.8755,32.7689,True,True,56.1753,1.714287022145998,240.0,0.0
C:\c++\test2\results\best_reconstruction_overhead\raw_results.csv,new_solve_with_reconstruction,300,0.4,0.6,2,570.024,590.885,20.86099999999999,3.6596704700152958,18.949,3.244508,0.5883,16.0717,True,True,27.5515,1.7142866031595911,211.0,0.0
C:\c++\test2\results\best_reconstruction_overhead\raw_results.csv,new_solve_with_reconstruction,300,0.4,0.6,3,1616.55,1640.06,23.50999999999999,1.4543317558999096,23.335,1.431335,0.8611,31.5864,True,True,54.1481,1.7142852620114986,228.0,0.0
C:\c++\test2\results\best_reconstruction_overhead\raw_results.csv,new_solve_with_reconstruction,300,0.4,0.6,4,1156.54,1186.19,29.65000000000009,2.5636813253324653,28.187,2.405763,0.603,29.7922,True,True,51.0723,1.7142842757500285,181.0,0.0
C:\c++\test2\results\best_reconstruction_overhead\raw_results.csv,new_solve_with_reconstruction,500,0.2,0.6,0,17548.1,17959.4,411.3000000000029,2.343843493027752,419.701,2.386376,1.5225,363.048,True,True,576.606,1.5882362662788392,318.0,0.0
C:\c++\test2\results\best_reconstruction_overhead\raw_results.csv,new_solve_with_reconstruction,500,0.2,0.6,1,15782.3,16084.4,302.10000000000036,1.914169671087233,305.446,1.931318,1.4786,313.467,True,True,497.859,1.588234168189953,303.0,0.0
C:\c++\test2\results\best_reconstruction_overhead\raw_results.csv,new_solve_with_reconstruction,500,0.2,0.6,2,14139.8,14204.0,64.20000000000073,0.45403753942771985,76.531,0.539961,1.5411,287.231,True,True,456.19,1.5882338605512636,309.0,0.0
C:\c++\test2\results\best_reconstruction_overhead\raw_results.csv,new_solve_with_reconstruction,500,0.2,0.6,3,15454.1,15896.0,441.89999999999964,2.8594353601956737,459.617,2.968404,1.2515,325.822,True,True,517.482,1.588235294117647,271.0,0.0
C:\c++\test2\results\best_reconstruction_overhead\raw_results.csv,new_solve_with_reconstruction,500,0.2,0.6,4,15180.5,15165.9,-14.600000000000364,-0.09617601528276647,-13.568,-0.089155,1.9637,321.337,True,True,510.358,1.5882329143547118,429.0,0.0
C:\c++\test2\results\best_reconstruction_overhead\raw_results.csv,new_solve_with_reconstruction,500,0.2,0.4,0,6621.09,6834.64,213.55000000000018,3.225299761821697,214.715,3.230392,1.0501,168.036,True,True,266.88,1.588231093337142,243.0,0.0
C:\c++\test2\results\best_reconstruction_overhead\raw_results.csv,new_solve_with_reconstruction,500,0.2,0.4,1,5805.91,5914.51,108.60000000000036,1.870507810145186,111.037,1.904983,1.0516,143.02,True,True,227.149,1.5882324150468465,244.0,0.0
C:\c++\test2\results\best_reconstruction_overhead\raw_results.csv,new_solve_with_reconstruction,500,0.2,0.4,2,7454.25,7567.61,113.35999999999967,1.5207432001878078,121.69,1.627076,1.1248,196.509,True,True,312.103,1.5882376888590346,261.0,0.0
C:\c++\test2\results\best_reconstruction_overhead\raw_results.csv,new_solve_with_reconstruction,500,0.2,0.4,3,6305.87,6420.0,114.13000000000011,1.8099009335745917,119.679,1.890956,1.3043,175.487,True,True,278.715,1.58823730532746,265.0,0.0
C:\c++\test2\results\best_reconstruction_overhead\raw_results.csv,new_solve_with_reconstruction,500,0.2,0.4,4,8245.28,8410.69,165.40999999999985,2.006117439310731,171.202,2.069726,0.9904,222.989,True,True,354.158,1.5882308095915045,214.0,0.0
C:\c++\test2\results\best_reconstruction_overhead\raw_results.csv,new_solve_with_reconstruction,500,0.4,0.6,0,8329.39,8439.52,110.13000000000102,1.3221856582534979,111.578,1.335609,1.3299,156.128,True,True,247.968,1.5882352941176472,304.0,0.0
C:\c++\test2\results\best_reconstruction_overhead\raw_results.csv,new_solve_with_reconstruction,500,0.4,0.6,1,8379.92,8457.19,77.27000000000044,0.9220851750374758,80.677,0.960013,1.5727,159.468,True,True,253.272,1.588230867634886,338.0,0.0
C:\c++\test2\results\best_reconstruction_overhead\raw_results.csv,new_solve_with_reconstruction,500,0.4,0.6,2,6537.24,6558.92,21.68000000000029,0.33163842844993136,24.731,0.376973,1.4443,133.204,True,True,211.559,1.5882330860935105,336.0,0.0
C:\c++\test2\results\best_reconstruction_overhead\raw_results.csv,new_solve_with_reconstruction,500,0.4,0.6,3,6311.15,6399.93,88.78000000000065,1.4067166839641057,90.963,1.436184,1.1244,128.862,True,True,204.663,1.5882339246635937,246.0,0.0
C:\c++\test2\results\best_reconstruction_overhead\raw_results.csv,new_solve_with_reconstruction,500,0.4,0.6,4,6040.13,6140.66,100.52999999999975,1.6643681510166128,104.964,1.731343,1.5133,123.428,True,True,196.033,1.5882376770262825,298.0,0.0
C:\c++\test2\results\best_reconstruction_overhead\raw_results.csv,new_solve_with_reconstruction,700,0.2,0.6,0,49420.2,49716.6,296.40000000000146,0.5997547561523455,328.25,0.663485,3.0558,882.948,True,True,1324.42,1.4999977348609432,520.0,0.0
C:\c++\test2\results\best_reconstruction_overhead\raw_results.csv,new_solve_with_reconstruction,700,0.2,0.6,1,59988.5,60673.1,684.5999999999985,1.1412187335906023,711.098,1.184123,2.6877,1093.85,True,True,1640.77,1.4999954289893496,524.0,0.0
C:\c++\test2\results\best_reconstruction_overhead\raw_results.csv,new_solve_with_reconstruction,700,0.2,0.6,2,37110.0,37266.7,156.6999999999971,0.42225815144165213,164.623,0.442924,2.7386,701.033,True,True,1051.55,1.5000007132331858,483.0,0.0
C:\c++\test2\results\best_reconstruction_overhead\raw_results.csv,new_solve_with_reconstruction,700,0.2,0.6,3,46850.8,47559.0,708.1999999999971,1.5116070590043222,723.938,1.543266,3.2433,868.219,True,True,1302.33,1.5000017276746993,488.0,0.0
C:\c++\test2\results\best_reconstruction_overhead\raw_results.csv,new_solve_with_reconstruction,700,0.2,0.6,4,71568.2,72178.5,610.3000000000029,0.8527530383606168,652.399,0.910669,2.6123,1227.22,True,True,1840.83,1.5,496.0,0.0
C:\c++\test2\results\best_reconstruction_overhead\raw_results.csv,new_solve_with_reconstruction,700,0.2,0.4,0,19433.1,19882.7,449.6000000000022,2.3135783791572226,456.635,2.344594,1.4561,460.122,True,True,690.184,1.5000021733366367,356.0,0.0
C:\c++\test2\results\best_reconstruction_overhead\raw_results.csv,new_solve_with_reconstruction,700,0.2,0.4,1,23155.5,23653.0,497.5,2.1485176308004577,510.615,2.201008,1.2672,518.352,True,True,777.529,1.5000019291909745,290.0,0.0
C:\c++\test2\results\best_reconstruction_overhead\raw_results.csv,new_solve_with_reconstruction,700,0.2,0.4,2,18995.6,19207.8,212.20000000000073,1.1171008022910607,219.619,1.153569,1.0853,460.603,True,True,690.905,1.5000010855335288,269.0,0.0
