series_norm,config_norm,n,R,T,total_count,solved_count,solved_rate,oot_count,oom_count,err_count,median_time_ms_solved,p90_time_ms_solved,median_nodes,p90_nodes,median_memory_peak_bytes,p90_memory_peak_bytes,median_memo_exact_hit_rate,median_memo_lb_hit_rate,median_bound_time_share,median_cleanup_time_share
hard,adaptive_v3,1600,0.2,0.4,10,10,1.0,0,0,0,508903.64084999997,638069.3637999999,35149744.0,38571729.5,14995165184.0,14995165184.0,0.10502018876612985,,0.0,0.0
hard,adaptive_v3,1600,0.2,0.6,10,10,1.0,0,0,0,1142955.2917,1258635.0923900001,61999482.5,63476145.9,14870605824.0,14995165184.0,0.09842818572716683,,0.0,0.0016491878167454671
hard,adaptive_v3,1600,0.2,0.8,10,10,1.0,0,0,0,534800.26015,602999.73303,25311446.0,29076174.5,14870605824.0,14870605824.0,0.08846698765085222,,0.0,0.0
hard,adaptive_v3,1600,0.4,0.6,10,10,1.0,0,0,0,512076.8643,594160.83496,25484567.5,28095186.099999998,14870605824.0,14870605824.0,0.10992606524128562,,0.0,0.0
hard,adaptive_v3,1700,0.2,0.4,10,10,1.0,0,0,0,644767.6794499999,703238.85785,41252703.0,45561623.3,15957467136.0,15957467136.0,0.10505706787255692,,0.0,0.0
hard,adaptive_v3,1700,0.2,0.6,10,10,1.0,0,0,0,1332883.4254,1418865.39123,70108916.0,72984898.0,15957467136.0,15963090944.0,0.10050222389053379,,0.0,0.0023533612384011083
hard,adaptive_v3,1700,0.2,0.8,10,10,1.0,0,0,0,641666.5058,699553.81015,30008703.5,31712001.599999998,15963090944.0,15963090944.0,0.0894020270039699,,0.0,0.0
hard,adaptive_v3,1700,0.4,0.6,10,10,1.0,0,0,0,585221.2294,746439.6098,28154075.0,33712741.4,15963090944.0,15963090944.0,0.10666612788117615,,0.0,0.0
hard,adaptive_v3,1800,0.2,0.4,10,10,1.0,0,0,0,834397.7827999999,903373.28993,51626208.0,54925091.4,15405731840.0,17097547776.0,0.10909452867487812,,0.0,0.0015579391229307584
hard,adaptive_v3,1800,0.2,0.6,10,10,1.0,0,0,0,1756629.48095,2057758.53335,84948194.0,96677603.8,17098459136.0,17099370496.0,0.09909746518411225,,0.0,0.002932930134118354
hard,adaptive_v3,1800,0.2,0.8,10,10,1.0,0,0,0,830823.95955,885819.0485500001,36461105.5,37356772.3,17099370496.0,17102082048.0,0.08648418940854817,,0.0,0.0
hard,adaptive_v3,1800,0.4,0.6,10,10,1.0,0,0,0,807575.1448,966087.1573999999,35407694.0,39793936.5,17102082048.0,17102082048.0,0.11616513877322904,,0.0,0.0
hard,both,1100,0.2,0.4,10,10,1.0,0,0,0,162433.8957,226937.37573,22654794.0,30526209.8,7432159232.0,7433707520.0,0.16036251674822047,,0.0,0.0
hard,both,1100,0.2,0.6,10,10,1.0,0,0,0,432982.698,530733.76893,45226635.0,52255837.5,14687629312.0,14711009280.0,0.15821331739992406,,0.0,0.0
hard,both,1100,0.2,0.8,10,10,1.0,0,0,0,148695.89159999997,173421.42264,14000367.0,17096343.3,14711009280.0,14711009280.0,0.22469345716512296,,0.0,0.0
hard,both,1100,0.4,0.6,10,10,1.0,0,0,0,154974.24225,188498.51264,14337235.5,18157058.9,14711009280.0,14711009280.0,0.2472611655877929,,0.0,0.0
hard,lawler,1100,0.2,0.4,10,10,1.0,0,0,0,154523.85830000002,210616.71399,27590383.0,35160223.0,9313177600.0,11195023360.0,0.14082127323862986,,0.0,0.0
hard,lawler,1100,0.2,0.6,10,10,1.0,0,0,0,419990.4811,496073.86407,56317716.0,66416411.2,16906809344.0,16906809344.0,0.13220601870991266,,0.0,0.0
hard,lawler,1100,0.2,0.8,10,10,1.0,0,0,0,165931.1693,204592.98223999998,19758612.0,24929943.5,16906809344.0,16906809344.0,0.1582616457586628,,0.0,0.0
hard,lawler,1100,0.4,0.6,10,10,1.0,0,0,0,122349.8747,152514.18938,15082513.0,20035659.1,16906809344.0,16906809344.0,0.19359291300006604,,0.0,0.0
hard,szwarc,1100,0.2,0.4,10,10,1.0,0,0,0,315229.36125,389281.73046,31486896.5,36938977.6,11199033344.0,11199283200.0,0.07349666687289222,,0.0,0.0
hard,szwarc,1100,0.2,0.6,10,10,1.0,0,0,0,564346.6931,603135.67764,44630068.0,46942952.3,11199283200.0,11200004096.0,0.08005591778347995,,0.0,0.0
hard,szwarc,1100,0.2,0.8,10,10,1.0,0,0,0,156031.69075,189163.43034,11498270.5,14528869.6,11200004096.0,11200004096.0,0.0971520775162524,,0.0,0.0
hard,szwarc,1100,0.4,0.6,10,10,1.0,0,0,0,257636.54345,280384.87655,17915188.5,19590016.5,11200004096.0,11200004096.0,0.08189044633366316,,0.0,0.0
