n,instances,median_time_ratio_custom_to_std,p10_time_ratio_custom_to_std,p90_time_ratio_custom_to_std,custom_win_rate,median_memory_ratio_custom_to_std,p10_memory_ratio_custom_to_std,p90_memory_ratio_custom_to_std
50,40,1.0227751264112075,0.9898743670273886,1.0598307657003574,0.25,0.8333333333333333,0.8333320049183924,0.8333346517486341
100,40,0.9456314153178432,0.9177850686883381,0.9637664753946914,1.0,0.8399998518291534,0.8399989563450057,0.8400028192783773
200,40,0.9216356772204866,0.8909740939887429,0.944464563208468,1.0,0.8518522608255206,0.851849345800702,0.8518541668419816
300,40,0.9194999800850876,0.893493150862658,0.9339207961592526,1.0,0.8571429579546339,0.8571416244806441,0.857144462853422
500,40,0.9182143706874979,0.9025813168285459,0.9348397398553734,1.0,0.8709676754338831,0.8709659989831748,0.8709694117011226
700,40,0.9282342956335982,0.9160649406099912,0.9391518216609486,1.0,0.8823527648757128,0.8823516272753341,0.8823537792282473
900,40,0.9335450983180482,0.9199865333715381,0.9431094371297812,1.0,0.8947371393658224,0.8947337434805723,0.8947390231564716
