series_norm,config_norm,n,R,T,total_count,solved_count,solved_rate,oot_count,oom_count,err_count,median_time_ms_solved,p90_time_ms_solved,median_penalized_time_ms,p90_penalized_time_ms,median_nodes,p90_nodes,median_memory_peak_bytes,p90_memory_peak_bytes,median_memo_exact_hit_rate,median_memo_lb_hit_rate,median_bound_time_share,median_cleanup_time_share
article_code_comparison,article_code,100,1.0,0.6,20,10,0.5,0,0,10,54.6105,55.1001,6000027.5865,12000000.0,,,2013184.0,2194636.8,,,,
article_code_comparison,article_code,100,1.0,0.8,20,10,0.5,0,0,10,54.6725,58.1317,6000029.087,12000000.0,,,1984512.0,2179481.6,,,,
article_code_comparison,article_code,200,0.2,0.2,10,10,1.0,0,0,0,53.6205,54.187200000000004,53.6205,54.187200000000004,,,1802240.0,1841971.2,,,,
article_code_comparison,article_code,200,0.2,0.4,10,10,1.0,0,0,0,180.5655,261.7022,180.5655,261.7022,,,13258752.0,18634752.0,,,,
article_code_comparison,article_code,200,0.2,0.6,10,10,1.0,0,0,0,410.97249999999997,529.7175,410.97249999999997,529.7175,,,28639232.0,37029887.99999999,,,,
article_code_comparison,article_code,200,0.2,0.8,10,10,1.0,0,0,0,156.7425,207.24790000000002,156.7425,207.24790000000002,,,13043712.0,15706521.6,,,,
article_code_comparison,article_code,200,0.4,0.2,10,10,1.0,0,0,0,53.3465,53.7815,53.3465,53.7815,,,1810432.0,1845657.6,,,,
article_code_comparison,article_code,200,0.4,0.4,10,10,1.0,0,0,0,53.492000000000004,104.1538,53.492000000000004,104.1538,,,1802240.0,7551385.6,,,,
article_code_comparison,article_code,200,0.4,0.6,10,10,1.0,0,0,0,155.11149999999998,216.62069999999997,155.11149999999998,216.62069999999997,,,11571200.0,16080895.999999998,,,,
article_code_comparison,article_code,200,0.4,0.8,10,10,1.0,0,0,0,53.3195,54.0665,53.3195,54.0665,,,1810432.0,1872281.6,,,,
article_code_comparison,article_code,200,0.6,0.2,10,10,1.0,0,0,0,53.551500000000004,54.1136,53.551500000000004,54.1136,,,1810432.0,1841971.2,,,,
article_code_comparison,article_code,200,0.6,0.4,10,10,1.0,0,0,0,53.225,53.983,53.225,53.983,,,1812480.0,1875968.0,,,,
article_code_comparison,article_code,200,0.6,0.6,10,10,1.0,0,0,0,54.4735,109.85159999999998,54.4735,109.85159999999998,,,4777984.0,8266956.799999999,,,,
article_code_comparison,article_code,200,0.6,0.8,10,10,1.0,0,0,0,53.603,53.9342,53.603,53.9342,,,1814528.0,1871872.0,,,,
article_code_comparison,article_code,200,0.8,0.2,10,10,1.0,0,0,0,53.303,53.7885,53.303,53.7885,,,1800192.0,1826406.4,,,,
article_code_comparison,article_code,200,0.8,0.4,10,10,1.0,0,0,0,53.245000000000005,53.9222,53.245000000000005,53.9222,,,1814528.0,1876377.6,,,,
article_code_comparison,article_code,200,0.8,0.6,10,10,1.0,0,0,0,53.202,53.6156,53.202,53.6156,,,1796096.0,1861222.4,,,,
article_code_comparison,article_code,200,0.8,0.8,10,10,1.0,0,0,0,53.4465,53.9608,53.4465,53.9608,,,1798144.0,1861632.0,,,,
article_code_comparison,article_code,200,1.0,0.2,20,10,0.5,0,0,10,53.914500000000004,55.3274,6000029.137,12000000.0,,,1976320.0,2179481.6,,,,
article_code_comparison,article_code,200,1.0,0.4,20,10,0.5,0,0,10,54.2965,55.2797,6000028.8895,12000000.0,,,1996800.0,2227404.8,,,,
article_code_comparison,article_code,200,1.0,0.6,20,10,0.5,0,0,10,53.82,55.001000000000005,6000027.784,12000000.0,,,2000896.0,2183987.2,,,,
article_code_comparison,article_code,200,1.0,0.8,20,10,0.5,0,0,10,54.543499999999995,55.690000000000005,6000028.9385,12000000.0,,,2004992.0,2218393.6,,,,
article_code_comparison,article_code,300,0.2,0.2,10,10,1.0,0,0,0,53.235,53.6865,53.235,53.6865,,,1808384.0,1872281.6,,,,
article_code_comparison,article_code,300,0.2,0.4,10,10,1.0,0,0,0,897.8789999999999,1354.0049999999999,897.8789999999999,1354.0049999999999,,,61941760.0,90358169.6,,,,
article_code_comparison,article_code,300,0.2,0.6,10,10,1.0,0,0,0,2121.7945,3109.9748999999993,2121.7945,3109.9748999999993,,,146509824.0,207731916.79999995,,,,
article_code_comparison,article_code,300,0.2,0.8,10,10,1.0,0,0,0,615.0985000000001,1141.3091999999995,615.0985000000001,1141.3091999999995,,,43749376.0,78395801.59999996,,,,
article_code_comparison,article_code,300,0.4,0.2,10,10,1.0,0,0,0,53.469,53.8627,53.469,53.8627,,,1814528.0,1868185.6,,,,
article_code_comparison,article_code,300,0.4,0.4,10,10,1.0,0,0,0,206.32150000000001,269.3714,206.32150000000001,269.3714,,,14874624.0,19868057.599999998,,,,
article_code_comparison,article_code,300,0.4,0.6,10,10,1.0,0,0,0,540.5575,1347.778,540.5575,1347.778,,,39544832.0,92071116.8,,,,
article_code_comparison,article_code,300,0.4,0.8,10,10,1.0,0,0,0,53.4645,109.34759999999999,53.4645,109.34759999999999,,,1837056.0,8354611.199999998,,,,
article_code_comparison,article_code,300,0.6,0.2,10,10,1.0,0,0,0,53.429,53.569,53.429,53.569,,,1810432.0,1872691.2,,,,
