R,T,config_norm,time_ms_norm,ratio_to_best,pair
0.8,0.4,szwarc,17.467399999999998,179.61336760925448,"0.8,0.4"
0.8,0.6,adaptive_v1,472.1934,1.009989993002481,"0.8,0.6"
0.8,0.6,adaptive_v2,1306.1296,2.793723558110582,"0.8,0.6"
0.8,0.6,adaptive_v3,1494.20455,3.1960032541724965,"0.8,0.6"
0.8,0.6,both,885.4205999999999,1.8938552415138639,"0.8,0.6"
0.8,0.6,lawler,467.52285,1.0,"0.8,0.6"
0.8,0.6,szwarc,1569.8489,3.3578014422182787,"0.8,0.6"
0.8,0.8,adaptive_v1,7.3274,1.1277607621627446,"0.8,0.8"
0.8,0.8,adaptive_v2,10.300650000000001,1.585373924553276,"0.8,0.8"
0.8,0.8,adaptive_v3,10.9037,1.678189401751497,"0.8,0.8"
0.8,0.8,both,6.4973,1.0,"0.8,0.8"
0.8,0.8,lawler,7.25825,1.117117879734659,"0.8,0.8"
0.8,0.8,szwarc,6.58275,1.0131516168254506,"0.8,0.8"
1.0,0.2,adaptive_v1,0.009649999999999999,1.043243243243243,"1,0.2"
1.0,0.2,adaptive_v2,0.009649999999999999,1.043243243243243,"1,0.2"
1.0,0.2,adaptive_v3,0.00975,1.054054054054054,"1,0.2"
1.0,0.2,both,0.012400000000000001,1.3405405405405404,"1,0.2"
1.0,0.2,lawler,0.009250000000000001,1.0,"1,0.2"
1.0,0.2,szwarc,0.009600000000000001,1.037837837837838,"1,0.2"
1.0,0.4,adaptive_v1,0.00915,1.0,"1,0.4"
1.0,0.4,adaptive_v2,0.009399999999999999,1.0273224043715845,"1,0.4"
1.0,0.4,adaptive_v3,0.01,1.092896174863388,"1,0.4"
1.0,0.4,both,0.0112,1.2240437158469946,"1,0.4"
1.0,0.4,lawler,0.01025,1.1202185792349728,"1,0.4"
1.0,0.4,szwarc,0.00925,1.010928961748634,"1,0.4"
1.0,0.6,adaptive_v1,9.698550000000001,1.0394291930358552,"1,0.6"
1.0,0.6,adaptive_v2,16.8669,1.8076875673184616,"1,0.6"
1.0,0.6,adaptive_v3,16.6808,1.7877425474109525,"1,0.6"
1.0,0.6,both,12.121500000000001,1.2991056357274149,"1,0.6"
1.0,0.6,lawler,9.330649999999999,1.0,"1,0.6"
1.0,0.6,szwarc,15.39825,1.6502869575002816,"1,0.6"
1.0,0.8,adaptive_v1,6.879300000000001,1.0372028857679174,"1,0.8"
1.0,0.8,adaptive_v2,10.47795,1.5797770088427527,"1,0.8"
1.0,0.8,adaptive_v3,10.9679,1.6536475412925646,"1,0.8"
1.0,0.8,both,6.63255,1.0,"1,0.8"
1.0,0.8,lawler,6.77245,1.021092943136501,"1,0.8"
1.0,0.8,szwarc,7.418200000000001,1.1184536867419017,"1,0.8"
