R,T,rows,both_solved,ours_solved_rate,article_solved_rate,objective_match_rate,comparable_rows,median_time_ratio,p10_time_ratio,p90_time_ratio,median_memory_ratio,p10_memory_ratio,p90_memory_ratio,median_ours_wall_time_s,median_article_wall_time_s,median_ours_peak_gb,median_article_peak_gb
0.2,0.2,120,120,1.0,1.0,1.0,120,1.0104324999999998,0.9244541000000001,1.3178789000000002,1.069778,0.9235306,1.8508621000000003,0.27261,0.2103775,0.02787017822265625,0.014055252075195312
0.2,0.4,120,120,1.0,1.0,1.0,120,0.7602335,0.6196268,1.0536893,0.46945349999999997,0.3152764,1.0000475,8.1876395,10.6633745,0.3383769989013672,0.7171134948730469
0.2,0.6,120,120,1.0,1.0,1.0,120,0.723651,0.5045147,1.0132670000000001,0.428518,0.2627443,0.9552899,17.847378,27.807279,0.6121387481689453,1.9155540466308594
0.2,0.8,120,120,1.0,1.0,1.0,120,0.9435530000000001,0.7600664,1.1227407000000003,0.40272050000000004,0.24033790000000002,0.9734553,7.8911620000000005,7.858593000000001,0.21633529663085938,0.5495109558105469
0.4,0.2,120,120,1.0,1.0,1.0,120,1.034116,0.9894759000000001,1.0503408,1.028243,0.9353781999999999,1.2787743,0.0621365,0.059886,0.0017261505126953125,0.00168609619140625
0.4,0.4,120,120,1.0,1.0,1.0,120,1.002468,0.8367899,1.2084472000000002,0.7286805000000001,0.4165811,1.0576113,1.9525175,1.873447,0.08844184875488281,0.12203788757324219
0.4,0.6,120,120,1.0,1.0,1.0,120,0.9615315,0.7841287,1.2445981000000002,0.3918935,0.253112,0.9916739000000001,8.3082885,8.4006995,0.22897911071777344,0.5731563568115234
0.4,0.8,120,120,1.0,1.0,1.0,120,1.048584,1.0001273,1.9874887,1.342398,0.9473720999999999,4.615502500000009,0.11084750000000002,0.0600155,0.01076507568359375,0.001743316650390625
0.6,0.2,120,120,1.0,1.0,1.0,120,1.0405225,0.9951217,1.0526923000000001,1.067315,0.9317874,1.2994785,0.0624565,0.0599905,0.00180816650390625,0.00168609619140625
0.6,0.4,120,120,1.0,1.0,1.0,120,1.2611985,1.0018813000000002,1.7442985,1.2637109999999998,0.9409346,2.2048153,0.2125675,0.11984349999999999,0.019701004028320312,0.007984161376953125
0.6,0.6,120,120,1.0,1.0,1.0,120,1.1991515000000001,1.0019367000000001,1.6612636,0.6539815,0.4087213,1.1570968000000006,3.2034779999999996,2.446768,0.09974479675292969,0.14807891845703125
0.6,0.8,120,120,1.0,1.0,1.0,120,1.0379,0.993995,1.0535329,1.0600684999999999,0.9430185,1.2851951000000001,0.0622365,0.0598385,0.001743316650390625,0.001689910888671875
0.8,0.2,120,120,1.0,1.0,1.0,120,1.0407,0.997027,1.0518897,1.0643340000000001,0.9404213,1.3009732,0.0624305,0.06,0.00180816650390625,0.001689910888671875
0.8,0.4,120,120,1.0,1.0,1.0,120,1.0421285,0.9999602000000001,1.0528291,1.0764245,0.9365292,1.3095772,0.0624795,0.0599635,0.0018787384033203125,0.001689910888671875
0.8,0.6,120,120,1.0,1.0,1.0,120,1.3646775,0.9978094000000001,1.9616121000000002,1.2927265000000001,0.9428926000000001,4.3207164,0.177899,0.1198005,0.01773834228515625,0.00762176513671875
0.8,0.8,120,120,1.0,1.0,1.0,120,1.03972,0.995649,1.0521779,1.1254905,0.9412178,1.3185098,0.062346,0.0598465,0.001880645751953125,0.001689910888671875
1.0,0.2,120,120,1.0,1.0,1.0,120,0.9923919999999999,0.968438,1.0170642,1.0,0.9438134,1.0211382,0.0535355,0.0539575,0.00200653076171875,0.00200653076171875
1.0,0.4,120,120,1.0,1.0,1.0,120,0.9914365,0.9694738,1.0139042999999999,0.9962335,0.9547017999999999,1.019194,0.053507,0.0540285,0.00200653076171875,0.002010345458984375
1.0,0.6,120,120,1.0,1.0,1.0,120,0.991026,0.97064,1.0181531000000001,0.996198,0.9460336,1.015444,0.053489499999999995,0.0540625,0.00200653076171875,0.002010345458984375
1.0,0.8,120,120,1.0,1.0,1.0,120,0.990055,0.9694779,1.0133975,0.997175,0.9466421,1.0157793,0.05348,0.054092,0.00200653076171875,0.002010345458984375
