R,T,n,rows,median_ours_wall_time_s,median_article_wall_time_s,median_ours_peak_gb,median_article_peak_gb,median_time_ratio,median_memory_ratio
0.2,0.2,50,10,0.0539935,0.0533665,0.00165557861328125,0.001667022705078125,1.0056880000000001,0.9886254999999999
0.2,0.2,100,10,0.053429000000000004,0.053433499999999995,0.001651763916015625,0.0016937255859375,1.0028765000000002,0.9696495
0.2,0.2,200,10,0.053363999999999995,0.0536205,0.0016269683837890625,0.001678466796875,0.9983044999999999,0.9718955
0.2,0.2,300,10,0.053974,0.053235000000000005,0.0016193389892578125,0.0016841888427734375,1.0069024999999998,0.952575
0.2,0.2,400,10,0.103984,0.0539245,0.011533737182617188,0.001708984375,1.0034875,1.602344
0.2,0.2,500,10,0.202267,0.1499405,0.020154953002929688,0.009756088256835938,1.25105,1.88131
0.2,0.2,600,10,0.44725950000000003,0.389834,0.04048919677734375,0.025604248046875,1.130178,1.646176
0.2,0.2,700,10,0.6586494999999999,0.5396785,0.05442047119140625,0.034091949462890625,1.1553879999999999,1.4658735
0.2,0.2,800,10,1.048362,0.9669605000000001,0.08264923095703125,0.06322097778320312,1.0660515,1.281234
0.2,0.2,900,10,1.7683285,1.63242,0.1262645721435547,0.10907363891601562,1.0135355,1.1510444999999998
0.2,0.2,1000,10,2.2434355000000004,2.2962749999999996,0.15673446655273438,0.1493358612060547,0.9230425,1.040225
0.2,0.2,1100,10,2.7564960000000003,2.7494240000000003,0.20611572265625,0.1801013946533203,0.9376705000000001,1.0683850000000001
0.2,0.4,50,10,0.053557499999999994,0.0534915,0.0016651153564453125,0.00168609619140625,1.000845,0.9830315000000001
0.2,0.4,100,10,0.0536815,0.0532555,0.00164794921875,0.001689910888671875,1.0064045,0.956534
0.2,0.4,200,10,0.20616299999999999,0.1805655,0.014223098754882812,0.012348175048828125,1.1813440000000002,1.0410445
0.2,0.4,300,10,0.9140515,0.8978789999999999,0.04631233215332031,0.05768775939941406,1.0554665,0.8586499999999999
0.2,0.4,400,10,2.512424,2.6570235,0.11005592346191406,0.16990280151367188,0.959306,0.6440055
0.2,0.4,500,10,6.8382485,9.2747355,0.26903343200683594,0.6040267944335938,0.759917,0.46181
0.2,0.4,600,10,11.4623205,14.742821999999999,0.4450817108154297,0.9624290466308594,0.756327,0.4506025
0.2,0.4,700,10,20.9366085,29.5233525,0.7713508605957031,1.9382038116455078,0.730918,0.4050755
0.2,0.4,800,10,36.300089,55.0243405,1.2748260498046875,3.7278308868408203,0.6871400000000001,0.3496165
0.2,0.4,900,10,65.0094785,100.280231,2.2128238677978516,6.913761138916016,0.662039,0.3163845
0.2,0.4,1000,10,78.65906849999999,121.69311450000001,2.493997573852539,8.376821517944336,0.6421715,0.32963149999999997
0.2,0.4,1100,10,107.1880205,189.3878575,3.7148818969726562,11.484745025634766,0.5766825,0.3417065
0.2,0.6,50,10,0.053722,0.053345000000000004,0.0016613006591796875,0.00168609619140625,1.0080875,0.9572700000000001
0.2,0.6,100,10,0.0535545,0.053239,0.001628875732421875,0.00168609619140625,1.0041765,0.9498935
0.2,0.6,200,10,0.4600525,0.41097249999999996,0.02435302734375,0.02667236328125,1.1225114999999999,0.919909
0.2,0.6,300,10,1.9310589999999999,2.1217945,0.07731819152832031,0.13644790649414062,0.8653435,0.5683895000000001
0.2,0.6,400,10,6.1043455,7.397444,0.2076396942138672,0.48261451721191406,0.83077,0.43356700000000004
0.2,0.6,500,10,15.289044,20.583585999999997,0.46006202697753906,1.4006462097167969,0.7382265,0.32815300000000003
0.2,0.6,600,10,25.2237725,33.642998000000006,0.7634696960449219,2.3131885528564453,0.6906505000000001,0.32147950000000003
0.2,0.6,700,10,48.20389350000001,74.30583899999999,1.259958267211914,5.2355499267578125,0.6474545,0.25566500000000003
0.2,0.6,800,10,81.2062825,122.02876649999999,2.238096237182617,8.548452377319336,0.6611205,0.263465
0.2,0.6,900,10,128.43064149999998,230.434262,3.4546642303466797,11.696495056152344,0.57457,0.2935655
0.2,0.6,1000,10,177.6309855,343.62075949999996,5.123476028442383,12.18086051940918,0.5271485,0.419664
0.2,0.6,1100,10,264.8686705,550.6705585,6.225799560546875,12.780279159545898,0.4702045,0.489324
0.2,0.8,50,10,0.0536315,0.0532735,0.001636505126953125,0.00168609619140625,1.0065495,0.967876
0.2,0.8,100,10,0.053517,0.05336249999999999,0.0016040802001953125,0.00168609619140625,1.0020855000000002,0.937461
0.2,0.8,200,10,0.20550649999999998,0.1567425,0.01227569580078125,0.012147903442382812,1.2797554999999998,0.9406875
0.2,0.8,300,10,0.63666,0.6150985,0.028932571411132812,0.040744781494140625,1.081793,0.7423105
0.2,0.8,400,10,2.5658435,2.759273,0.09074211120605469,0.1862049102783203,0.9505954999999999,0.505699
0.2,0.8,500,10,5.4812955,5.743665999999999,0.17315292358398438,0.3870105743408203,0.9563785,0.413704
0.2,0.8,600,10,11.1517005,12.186058500000001,0.31567955017089844,0.8494319915771484,0.923307,0.368906
0.2,0.8,700,10,21.776705,24.408182,0.5547065734863281,1.7768173217773438,0.910233,0.317024
0.2,0.8,800,10,36.98398,42.2587645,0.8247756958007812,3.1369056701660156,0.8266045,0.2605905
0.2,0.8,900,10,54.5995305,65.6394275,1.3745899200439453,4.932159423828125,0.825092,0.26955399999999996
0.2,0.8,1000,10,79.85867350000001,101.57307700000001,2.045022964477539,7.776031494140625,0.7875325,0.26464699999999997
0.2,0.8,1100,10,113.817831,143.28875299999999,2.5619068145751953,10.748044967651367,0.779906,0.2330195
0.4,0.2,50,10,0.053575,0.0536075,0.00164794921875,0.00168609619140625,1.0010515,0.976295
0.4,0.2,100,10,0.053577,0.0536825,0.0016117095947265625,0.00168609619140625,0.9994395,0.933296
0.4,0.2,200,10,0.054213,0.0533465,0.001667022705078125,0.00168609619140625,1.0113604999999999,0.9863474999999999
0.4,0.2,300,10,0.053355,0.053469,0.001644134521484375,0.001689910888671875,1.0012595000000002,0.957533
0.4,0.2,400,10,0.0584745,0.0601135,0.0018253326416015625,0.00168609619140625,0.972678,1.09159
0.4,0.2,500,10,0.06315,0.0600915,0.0021686553955078125,0.0016918182373046875,1.050204,1.2516414999999999
0.4,0.2,600,10,0.062899,0.060101,0.0020580291748046875,0.001712799072265625,1.0457290000000001,1.186353
0.4,0.2,700,10,0.062894,0.060052499999999995,0.0020465850830078125,0.00168609619140625,1.047755,1.217748
0.4,0.2,800,10,0.062421000000000004,0.060054,0.001995086669921875,0.001728057861328125,1.0433275000000002,1.147059
0.4,0.2,900,10,0.0623485,0.059874500000000004,0.0019073486328125,0.001674652099609375,1.04236,1.1429255
0.4,0.2,1000,10,0.062346,0.059909,0.0018291473388671875,0.001689910888671875,1.0381205,1.079892
0.4,0.2,1100,10,0.062223,0.060025999999999996,0.0017223358154296875,0.00168609619140625,1.0361525,1.053042
0.4,0.4,50,10,0.05359800000000001,0.053599,0.0016574859619140625,0.00168609619140625,1.0029745,0.977376
0.4,0.4,100,10,0.053561,0.0534235,0.001613616943359375,0.00168609619140625,1.002507,0.9513035000000001
0.4,0.4,200,10,0.0537615,0.053492,0.001705169677734375,0.001678466796875,1.00504,1.023364
0.4,0.4,300,10,0.256769,0.2063215,0.015727996826171875,0.013853073120117188,1.285278,1.117396
0.4,0.4,400,10,0.422804,0.3615235,0.026147842407226562,0.02445220947265625,1.1536564999999999,1.0254075
0.4,0.4,500,10,1.555475,1.3902315,0.070770263671875,0.09410858154296875,1.101242,0.7286805000000001
0.4,0.4,600,10,2.455572,2.3870940000000003,0.1068878173828125,0.16046142578125,1.106131,0.670606
0.4,0.4,700,10,4.351889,4.6246405,0.17389678955078125,0.3154315948486328,0.9998065,0.5672215
0.4,0.4,800,10,7.9438555,8.919329,0.28697967529296875,0.6174983978271484,0.9168799999999999,0.5088355
0.4,0.4,900,10,12.8680555,15.295759,0.42925262451171875,1.0636730194091797,0.8800365,0.4484545
0.4,0.4,1000,10,16.6218105,19.4782405,0.5655479431152344,1.3827934265136719,0.856187,0.4243365
0.4,0.4,1100,10,26.9281775,31.972183,0.8455543518066406,2.233753204345703,0.8595975,0.4298685
0.4,0.6,50,10,0.0537705,0.053479,0.00164794921875,0.0016880035400390625,1.0037150000000001,0.965999
0.4,0.6,100,10,0.0537585,0.053508,0.0016155242919921875,0.0016765594482421875,1.00241,0.953468
0.4,0.6,200,10,0.207678,0.1551115,0.012142181396484375,0.010776519775390625,1.3389345,1.086082
0.4,0.6,300,10,0.814611,0.5405575,0.033184051513671875,0.03682899475097656,1.191459,0.7978285
0.4,0.6,400,10,2.8482905,2.5079445,0.09531784057617188,0.1680755615234375,1.0652240000000002,0.550546
0.4,0.6,500,10,6.3539885,6.6488405,0.19125747680664062,0.4604949951171875,0.9461755000000001,0.40286999999999995
0.4,0.6,600,10,10.9764915,11.336252,0.2915935516357422,0.7856769561767578,0.9381200000000001,0.38107749999999996
0.4,0.6,700,10,19.5307675,23.078371999999998,0.49590301513671875,1.6858844757080078,0.873605,0.3023195
0.4,0.6,800,10,37.6185745,41.930781499999995,0.8676929473876953,3.142009735107422,0.877702,0.280813
0.4,0.6,900,10,52.948732,64.54664,1.3746261596679688,4.776849746704102,0.849176,0.29035299999999997
0.4,0.6,1000,10,78.32806550000001,101.2252785,1.7377815246582031,7.550567626953125,0.786483,0.27389149999999995
0.4,0.6,1100,10,121.2307735,149.1725365,2.486391067504883,11.139781951904297,0.7502975000000001,0.2410255
0.4,0.8,50,10,0.0534465,0.0532905,0.001667022705078125,0.00168609619140625,1.0011174999999999,0.981133
0.4,0.8,100,10,0.0536025,0.053342,0.001605987548828125,0.001678466796875,1.0060060000000002,0.9577154999999999
0.4,0.8,200,10,0.053546,0.05331949999999999,0.00164794921875,0.00168609619140625,1.0043445,0.9608190000000001
0.4,0.8,300,10,0.054117,0.0534645,0.0016536712646484375,0.0017108917236328125,1.007628,0.9641785
0.4,0.8,400,10,0.062816,0.0600035,0.002109527587890625,0.0016841888427734375,1.04595,1.2341034999999998
0.4,0.8,500,10,0.09143599999999999,0.0600155,0.00787353515625,0.001773834228515625,1.0509650000000001,1.289084
