n,min_memory_ratio,max_memory_ratio,pair_level_spread
50,0.8333330187737933,0.8333333521059356,3.3333214233266517e-07
100,0.839999568000934,0.8400004215332098,8.535322757463604e-07
200,0.8518516869177473,0.851852474220038,7.873022906945693e-07
300,0.8571425432303552,0.8571436497043861,1.1064740308430743e-06
500,0.8709670629253123,0.8709682160325315,1.1531072191539593e-06
700,0.8823525423900933,0.8823529021014543,3.597113610309677e-07
900,0.894735678025625,0.8947375252263001,1.847200675086924e-06
