instance_key,custom_reported_time_ms,std_unordered_reported_time_ms,custom_memo_used_mb,std_unordered_memo_used_mb,custom_objective,std_unordered_objective,process_gated_file,source_file,objective_match,time_ratio_custom_to_std,memory_ratio_custom_to_std,memo_full_key_verification_ok,exact_memo_enabled_ok
100|R=0.2|T=0.8|seed=5,11.5789,6.3954,4.97265625,5.21484375,83562.0,83562.0,True,C:\c++\test2\results\memo_backend_comparison\raw_results.csv,True,1.8105044250555087,0.9535580524344569,True,True
100|R=0.2|T=0.8|seed=6,11.6895,6.4221,4.97265625,5.21484375,98304.0,98304.0,True,C:\c++\test2\results\memo_backend_comparison\raw_results.csv,True,1.8201990003269959,0.9535580524344569,True,True
100|R=0.2|T=0.8|seed=7,14.4361,8.5808,4.97265625,5.21484375,78940.0,78940.0,True,C:\c++\test2\results\memo_backend_comparison\raw_results.csv,True,1.6823722729815402,0.9535580524344569,True,True
100|R=0.2|T=0.8|seed=8,28.8132,16.4929,4.97265625,5.66796875,102565.0,102565.0,True,C:\c++\test2\results\memo_backend_comparison\raw_results.csv,True,1.7470062875540384,0.8773259820813232,True,True
100|R=0.2|T=0.8|seed=9,9.156,5.4024,4.97265625,5.66796875,78156.0,78156.0,True,C:\c++\test2\results\memo_backend_comparison\raw_results.csv,True,1.694802310084407,0.8773259820813232,True,True
100|R=0.4|T=0.6|seed=0,18.7403,10.6747,4.84765625,4.98828125,40401.0,40401.0,True,C:\c++\test2\results\memo_backend_comparison\raw_results.csv,True,1.7555809530947006,0.9718089271730619,True,True
100|R=0.4|T=0.6|seed=1,20.5561,11.8798,4.84765625,5.05078125,43606.0,43606.0,True,C:\c++\test2\results\memo_backend_comparison\raw_results.csv,True,1.730340578124211,0.9597834493426141,True,True
100|R=0.4|T=0.6|seed=2,5.2784,2.89,4.84765625,5.05078125,36078.0,36078.0,True,C:\c++\test2\results\memo_backend_comparison\raw_results.csv,True,1.8264359861591697,0.9597834493426141,True,True
100|R=0.4|T=0.6|seed=3,5.4146,3.0455,4.84765625,5.05078125,51100.0,51100.0,True,C:\c++\test2\results\memo_backend_comparison\raw_results.csv,True,1.7779018223608603,0.9597834493426141,True,True
100|R=0.4|T=0.6|seed=4,50.9774,31.8147,5.984375,6.4609375,52544.0,52544.0,True,C:\c++\test2\results\memo_backend_comparison\raw_results.csv,True,1.6023221969718402,0.9262394195888755,True,True
